IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
4.0,0.0,0.0,0.0,0.0,,4.0,0.8,2.560000000000001,59
0.0,0.0,0.0,1.0,0.0,,1.0,0.2,0.16000000000000003,33
4.0,0.0,8.0,3.0,0.0,,15.0,3.0,8.8,85
2.0,3.0,0.0,0.0,0.0,,5.0,1.0,1.6,77
0.0,2.0,1.0,5.0,4.0,,12.0,2.4,3.4400000000000004,100
19.0,10.0,9.0,7.0,0.0,,45.0,9.0,37.2,109
1.0,2.0,2.0,10.0,1.0,,16.0,3.2,11.76,119
17.0,0.0,23.0,8.0,4.0,,52.0,10.4,71.44000000000001,293
18.0,55.0,3.0,53.0,15.0,,144.0,28.8,448.9599999999999,369
166.0,40.0,240.0,182.0,152.0,,780.0,156.0,4260.8,999
